sys,msg,itr,dvfs,rapl,rnd_mean,joules_mean,time_mean,edp_mean,llcmiss_total_mean,cycles_total_mean,ins_total_mean,gov_mean,tput_mean,eput_mean,rnd_std,joules_std,time_std,edp_std,llcmiss_total_std,cycles_total_std,ins_total_std,gov_std,tput_std,eput_std
linux,64,20,0x1A00,135,4.5,5.457909912,0.20425342243221462,0.5574009792301857,2361235780975.7,154833001107736.2,73173693736475.7,0.0,1566690.6742608869,11.726232781251072,3.0276503540974917,0.01932235638012714,0.0005290388182304298,0.003030238285141927,1472050708427.4167,95448661837294.94,44869399969750.36,0.0,4057.905206272178,0.04152529811953258
linux,64,20,0x1B00,135,4.5,5.625884362000001,0.2042580658820917,0.5745723775081872,2355759247254.6,154451506000250.6,72988404107998.7,0.0,1566655.2385283099,11.37626482486221,3.0276503540974917,0.029215207938792485,0.0005340690742945456,0.004375460922572284,1473085634358.9656,95431694648665.75,44847228015002.234,0.0,4096.2780091741215,0.05896395261693734
linux,64,20,0x1C00,135,4.5,5.813272583999999,0.20455086281064233,0.5945583735527629,2357165936578.2,154542324371263.8,73036904722257.7,0.0,1564409.2148826884,11.009563434142601,3.0276503540974917,0.030625996879931606,0.0004263129645904058,0.003979147344145337,1480015555186.3584,95823078498949.28,45020421228654.555,0.0,3270.141067179324,0.057804492945451535
linux,64,20,0x1D00,135,4.5,6.001461956,0.20455680791614067,0.6138195731709293,2351890483487.3,154210373182003.5,72892240837033.2,0.0,1564363.9439100032,10.664122487895622,3.0276503540974917,0.014245146564103434,0.0004330808464806273,0.0018173333093102048,1480688225390.6533,95815947215294.6,45001290969417.164,0.0,3321.898163881145,0.025381419908270027
linux,64,20,0xC00,135,4.5,4.098962658,0.22196598050551053,0.45491559851517477,4058169111622.8,274050759513063.9,146493400465421.5,0.0,1441665.1012442966,15.61395610257729,3.0276503540974917,0.017274757438807794,0.0003222129957360589,0.0021410657204822534,2459332876502.818,166724826958606.28,88938623175504.33,0.0,2095.780094304205,0.06580035085011132
linux,64,20,0xF00,135,4.5,4.096698074000001,0.2056667659540572,0.42127854546019394,3767757443287.9,254320890860125.2,135898769545995.9,0.0,1555920.7883241866,15.622501093639835,3.0276503540974917,0.013988428499918517,0.00041881094624600645,0.0019873929279255616,2287244076823.3413,154880935898408.2,82595920203140.0,0.0,3174.640020364761,0.05323013412192831
linux,64,24,0x1000,135,4.5,4.952117212000001,0.245154782225787,0.607018612220278,4567878904155.9,307485830345450.6,164192989130327.3,0.0,1305301.2443640823,12.923875047214684,3.0276503540974917,0.015203237101007041,0.00041976358608095083,0.002430938755948388,2779536860104.516,186578617603179.16,99262644719786.61,0.0,2229.564891155117,0.039762771990976234
linux,64,24,0x1100,135,4.5,5.077491846,0.24509338699771965,0.6222324690275483,4562509862617.3,307170358026314.7,164027003833615.9,0.0,1305628.4804973644,12.604793625829608,3.0276503540974917,0.018169059888881973,0.0004353650621838958,0.003136541931087517,2775192817794.4346,186479356665446.0,99226562384271.86,0.0,2313.3734796626977,0.04506191980739982
linux,64,24,0x1200,135,4.5,5.214946296,0.2450773541990877,0.6390358492941217,4556859329466.5,306845176898276.4,163861680258002.3,0.0,1305713.7978799078,12.272591958489105,3.0276503540974917,0.020724531035109843,0.00042964411515517725,0.0035097904799510516,2770926042477.154,186401997541508.12,99210431155021.69,0.0,2283.351428098141,0.04867980720979107
linux,64,24,0x1500,135,4.5,5.6361573940000005,0.2449622873318232,0.6903251010873726,4529062427432.7,305404765256610.1,163170935341123.2,0.0,1306325.5565518173,11.355342891314237,3.0276503540974917,0.0166392096854017,0.00032211418198165156,0.002868045311200058,2744559755840.128,185460721861203.12,98826563522591.92,0.0,1712.0669884540182,0.03337501795041834
