ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 64 0xf00 95 30.750889 0.181872 2.736343 3.208893 685674681347032 685675141577738
0 64 0xf00 85 30.914421 0.181581 2.704788 3.186081 685814907887912 685815365685752
0 64 0xf00 75 30.695812 0.182525 2.73378 3.185791 685954928492308 685955389549197
0 64 0xf00 65 30.456838 0.183955 2.741531 3.236694 686095160988665 686095625624882
0 64 0xf00 55 30.61345 0.183417 2.758362 3.207016 686235303498660 686235765776495
0 64 0xf00 45 30.648772 0.182531 2.724335 3.20636 686380364269068 686380826008219
0 8192 0xf00 135 1903.677453 0.351534 5.620331 6.66214 685144738506643 685145690194892
0 8192 0xf00 125 1909.580757 0.351065 5.595596 6.642136 685284689576244 685285638331783
0 8192 0xf00 115 1898.166452 0.352504 5.637207 6.68222 685424628947598 685425583416448
0 8192 0xf00 105 1903.027927 0.351494 5.636246 6.678207 685564635081441 685565587113393
0 8192 0xf00 95 1901.459838 0.351492 5.646912 6.660263 685704684841290 685705637653685
0 8192 0xf00 85 1906.1497 0.351191 5.606949 6.636993 685844931648687 685845882118228
0 8192 0xf00 75 1904.738377 0.351351 5.639328 6.671005 685984952212605 685985903452017
0 8192 0xf00 65 1903.242084 0.35213 5.632004 6.659302 686125181621748 686126133590688
0 8192 0xf00 55 1913.303438 0.349994 5.596649 6.646042 686265321241613 686266268189770
0 8192 0xf00 45 1912.923677 0.350135 5.603668 6.64151 686410399515093 686411346620894
0 65536 0xf00 135 4744.845586 1.076457 18.078629 21.645981 685175255954662 685178310436369
0 65536 0xf00 125 4737.348109 1.078478 18.127548 21.700577 685315166108510 685318225843103
0 65536 0xf00 115 4717.479029 1.083428 18.156891 21.788406 685455157734371 685458230410092
0 65536 0xf00 105 4726.509968 1.081525 18.125092 21.752106 685595146378567 685598213247564
0 65536 0xf00 95 4575.336166 1.115995 18.822952 22.495575 685735202105268 685738370123103
0 65536 0xf00 85 4727.279203 1.080888 18.147736 21.744736 685875448817763 685878515144331
0 65536 0xf00 75 4608.218823 1.108744 18.611755 22.369705 686015467081239 686018612159847
0 65536 0xf00 65 4567.044228 1.117659 18.771698 22.511124 686155707812387 686158881533719
0 65536 0xf00 55 4727.390027 1.081087 18.145157 21.743866 686295838284427 686298904672503
0 65536 0xf00 45 4724.826408 1.081701 18.140442 21.743958 686440914130339 686443981657779
0 524288 0xf00 135 6729.00195 5.968272 101.901581 123.244858 685207881390058 685225114915565
0 524288 0xf00 125 6719.339598 5.976131 101.839752 123.379776 685347779679869 685365038501322
