i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
164 1 66 6 60560 0 0 0 0 0 0 0 0 11307371002004
165 1 66 3 8012 160936112067 364363712640 372356734020 353764037 4896817823 0 10027251130788 751721130 11307371376568
166 47 68638 0 0 0 0 0 0 0 0 0 0 11307371749570
167 1 66 2 66 0 0 0 0 0 0 0 0 11307372124623
168 0 0 9 68572 0 0 0 0 0 0 0 0 11307372328908
169 1 66 0 0 0 0 0 0 0 0 0 0 11307372401042
170 9 13626 0 0 0 0 0 0 0 0 0 0 11307372452894
171 16 24224 0 0 0 0 0 0 0 0 0 0 11307372531453
172 2 3028 0 0 0 0 0 0 0 0 0 0 11307372591382
173 0 0 4 132 0 0 0 0 0 0 0 0 11307372657120
174 0 0 0 0 0 0 0 0 0 0 0 0 11307372890841
175 8 12112 0 0 0 0 0 0 0 0 0 0 11307372940210
176 11 15582 0 0 0 0 0 0 0 0 0 0 11307373008508
177 0 0 0 0 0 0 0 0 0 0 0 0 11307373041757
178 0 0 2 66 0 0 0 0 0 0 0 0 11307373101390
179 0 0 2 66 0 0 0 0 0 0 0 0 11307373168081
180 0 0 0 0 0 0 0 0 0 0 0 0 11307373240398
181 0 0 6 60560 0 0 0 0 0 0 0 0 11307373318002
182 0 0 3 8012 0 0 0 0 0 0 0 0 11307373400846
183 1 66 0 0 0 0 0 0 0 0 0 0 11307373732000
184 1 66 0 0 0 0 0 0 0 0 0 0 11307373826961
185 14 21196 0 0 0 0 0 0 0 0 0 0 11307373928630
186 13 19682 2 66 0 0 0 0 0 0 0 0 11307374035393
187 15 22710 2 66 0 0 0 0 0 0 0 0 11307374148208
188 4 4984 2 66 0 0 0 0 0 0 0 0 11307374267480
189 0 0 2 66 160936535870 364364494790 372358065584 353770212 4896817823 0 10027251130788 751722590 11307374391136
190 0 0 6 60560 0 0 0 0 0 0 0 0 11307374521965
191 1 66 3 8012 0 0 0 0 0 0 0 0 11307374851545
192 1 66 0 0 0 0 0 0 0 0 0 0 11307374994636
193 27 40878 0 0 0 0 0 0 0 0 0 0 11307375143483
194 19 27694 2 66 0 0 0 0 0 0 0 0 11307375296576
195 0 0 2 66 0 0 0 0 0 0 0 0 11307375458167
196 0 0 0 0 0 0 0 0 0 0 0 0 11307375625077
197 1 66 6 60560 0 0 0 0 0 0 0 0 11307375796051
198 0 0 3 8012 0 0 0 0 0 0 0 0 11307376022997
199 1 66 0 0 0 0 0 0 0 0 0 0 11307376207272
200 39 59046 0 0 0 0 0 0 0 0 0 0 11307376394708
201 7 9526 0 0 0 0 0 0 0 0 0 0 11307376595379
202 0 0 4 132 0 0 0 0 0 0 0 0 11307376795160
203 1 66 6 60560 0 0 0 0 0 0 0 0 11307377001808
204 0 0 3 8012 0 0 0 0 0 0 0 0 11307377217971
205 28 40944 0 0 160936877057 364365107292 372359158188 353775369 4896817823 0 10027251130788 751723891 11307377435817
206 19 27694 2 66 0 0 0 0 0 0 0 0 11307377664091
207 0 0 2 66 0 0 0 0 0 0 0 0 11307377894802
208 0 0 6 60560 0 0 0 0 0 0 0 0 11307378131692
209 0 0 3 8012 0 0 0 0 0 0 0 0 11307378375544
210 9 12178 0 0 0 0 0 0 0 0 0 0 11307378623638
211 38 56460 2 66 0 0 0 0 0 0 0 0 11307378877654
212 0 0 2 66 0 0 0 0 0 0 0 0 11307379142217
213 0 0 6 60560 0 0 0 0 0 0 0 0 11307379408631
214 1 66 3 8012 0 0 0 0 0 0 0 0 11307379700400
215 46 68572 0 0 0 0 0 0 0 0 0 0 11307379959378
216 0 0 2 66 0 0 0 0 0 0 0 0 11307380246296
217 0 0 6 60560 160937175602 364365654717 372360260739 353780455 4896817823 0 10027251130788 751725366 11307380537117
218 1 66 3 8012 0 0 0 0 0 0 0 0 11307380834135
219 46 68572 0 0 0 0 0 0 0 0 0 0 11307381136425
220 0 0 2 66 0 0 0 0 0 0 0 0 11307381445348
221 0 0 6 60560 0 0 0 0 0 0 0 0 11307381760589
222 1 66 3 8012 0 0 0 0 0 0 0 0 11307382081648
223 28 40944 0 0 0 0 0 0 0 0 0 0 11307382410488
224 19 27694 2 66 0 0 0 0 0 0 0 0 11307382765999
225 0 0 8 60626 0 0 0 0 0 0 0 0 11307383112028
226 0 0 3 8012 0 0 0 0 0 0 0 0 11307383423226
227 47 68638 0 0 160937515347 364366253665 372361515888 353786456 4896817823 0 10027251130788 751728025 11307383772690
228 0 0 2 66 0 0 0 0 0 0 0 0 11307384130536
229 0 0 6 60560 0 0 0 0 0 0 0 0 11307384492485
230 2 132 3 8012 0 0 0 0 0 0 0 0 11307384861472
231 46 68572 0 0 0 0 0 0 0 0 0 0 11307385236760
232 0 0 2 66 0 0 0 0 0 0 0 0 11307385608791
233 0 0 6 60560 0 0 0 0 0 0 0 0 11307385983366
234 2 132 3 8012 0 0 0 0 0 0 0 0 11307386358104
235 46 68572 0 0 160937756860 364366668374 372362469785 353790376 4896817823 0 10027251130788 751729228 11307386733089
236 0 0 2 66 0 0 0 0 0 0 0 0 11307387105385
237 0 0 6 60560 0 0 0 0 0 0 0 0 11307387479949
238 2 132 3 8012 0 0 0 0 0 0 0 0 11307387854687
239 46 68572 0 0 0 0 0 0 0 0 0 0 11307388264814
240 0 0 2 66 0 0 0 0 0 0 0 0 11307388602066
241 0 0 6 60560 0 0 0 0 0 0 0 0 11307388976717
242 2 132 3 8012 0 0 0 0 0 0 0 0 11307389351551
243 46 68572 0 0 160937997105 364367068036 372363390506 353794207 4896817823 0 10027251130788 751729228 11307389726574
244 0 0 2 66 0 0 0 0 0 0 0 0 11307390098823
245 0 0 6 60560 0 0 0 0 0 0 0 0 11307390473367
246 2 132 3 8012 0 0 0 0 0 0 0 0 11307390848058
247 46 68572 0 0 0 0 0 0 0 0 0 0 11307391257770
248 0 0 2 66 0 0 0 0 0 0 0 0 11307391595406
249 0 0 6 60560 0 0 0 0 0 0 0 0 11307391970358
250 2 132 3 8012 0 0 0 0 0 0 0 0 11307392344951
251 46 68572 0 0 160938237121 364367468771 372364313779 353798100 4896817823 0 10027251130788 751731720 11307392719736
252 0 0 2 66 0 0 0 0 0 0 0 0 11307393092261
253 0 0 6 60560 0 0 0 0 0 0 0 0 11307393466805
254 2 132 3 8012 0 0 0 0 0 0 0 0 11307393841931
255 46 68572 0 0 0 0 0 0 0 0 0 0 11307394252281
256 0 0 2 66 0 0 0 0 0 0 0 0 11307394588835
257 0 0 6 60560 0 0 0 0 0 0 0 0 11307394963379
258 2 132 3 8012 0 0 0 0 0 0 0 0 11307395338505
259 46 68572 0 0 160938473856 364367866935 372365232238 353802086 4896817823 0 10027251130788 751732855 11307395713100
260 0 0 2 66 0 0 0 0 0 0 0 0 11307396085661
261 0 0 6 60560 0 0 0 0 0 0 0 0 11307396459953
262 2 132 3 8012 0 0 0 0 0 0 0 0 11307396834140
263 46 68572 0 0 0 0 0 0 0 0 0 0 11307397210291
264 0 0 2 66 0 0 0 0 0 0 0 0 11307397582148
265 0 0 6 60560 0 0 0 0 0 0 0 0 11307397956614
266 2 132 3 8012 0 0 0 0 0 0 0 0 11307398331479
267 46 68572 0 0 160938713575 364368275209 372366172157 353806050 4896817823 0 10027251130788 751734060 11307398706240
268 0 0 2 66 0 0 0 0 0 0 0 0 11307399078905
269 0 0 6 60560 0 0 0 0 0 0 0 0 11307399453266
270 2 132 3 8012 0 0 0 0 0 0 0 0 11307399828236
271 46 68572 0 0 0 0 0 0 0 0 0 0 11307400203098
272 0 0 2 66 0 0 0 0 0 0 0 0 11307400575586
273 0 0 6 60560 0 0 0 0 0 0 0 0 11307400950188
274 2 132 3 8012 0 0 0 0 0 0 0 0 11307401324888
275 46 68572 0 0 160938952277 364368683189 372367111931 353810000 4896817823 0 10027251130788 751735290 11307401699786
276 0 0 2 66 0 0 0 0 0 0 0 0 11307402072256
277 0 0 6 60560 0 0 0 0 0 0 0 0 11307402446684
278 2 132 3 8012 0 0 0 0 0 0 0 0 11307402821375
279 46 68572 0 0 0 0 0 0 0 0 0 0 11307403196866
280 0 0 2 66 0 0 0 0 0 0 0 0 11307403569149
281 0 0 6 60560 0 0 0 0 0 0 0 0 11307403943385
282 2 132 3 8012 0 0 0 0 0 0 0 0 11307404317532
283 46 68572 0 0 160939190745 364369081810 372368030912 353813954 4896817823 0 10027251130788 751736456 11307404693240
284 0 0 2 66 0 0 0 0 0 0 0 0 11307405065520
285 0 0 6 60560 0 0 0 0 0 0 0 0 11307405440075
286 2 132 3 8012 0 0 0 0 0 0 0 0 11307405814628
287 46 68572 0 0 0 0 0 0 0 0 0 0 11307406189866
