,sys,rnd,msg,itr,dvfs,rapl,joules,time,edp,llcmiss_total,cycles_total,ins_total,num_interrupts
1737,ebbrt,8,8192,40,0x1100,135,473462.0,1184827393.0,280485373572283.0,12039273,12294421919.0,6071033316,10001
1738,linux,8,65536,60,0xC00,135,2007737.0,4849948101.0,4868710125228718.0,37747342636645,5079007693460140.0,3554344553732716,27189
1739,linux,1,64,1,0x1200,135,260591.0,531804981.0,69291795901885.5,888378158222,52985851737728.0,27436704652395,9986
1740,linux,6,65536,16,0xF00,135,1371485.0,2957875902.0,2028341215727235.0,13925100533936,2009872698702364.0,1379285546044435,59817
1741,ebbrt,8,64,28,0x1000,135,330641.0,826729100.0,136675268176550.0,6477215,8430398691.0,3798308754,9977
1742,ebbrt,5,64,24,0x1A00,135,284786.0,710064217.0,101108174051281.0,5514159,7164595834.0,3256582070,9990
1743,linux,5,8192,80,0x1200,135,1080277.0,2399158541.0,1295877895597928.5,20141624032278,1772372462892810.0,1063761601074324,10110
1744,ebbrt,3,8192,8,0x1000,135,347429.0,744211746.0,129280371350517.0,133484639,40273247784.0,5534141219,17046
1745,ebbrt,2,64,24,0x1100,135,284352.0,710057440.0,100953126589440.0,5338714,7163305523.0,3253713807,9988
1746,linux,3,65536,8,0x1A00,135,1643144.0,2518091630.0,2068793576642360.0,3675107721853,517444755652443.0,366196947096792,88603
1747,linux,3,65536,8,0x1C00,135,1709559.0,2468838552.0,2110312583059284.0,3590729503882,504249281125633.0,357196664308030,90653
1748,ebbrt,4,524288,80,0x1D00,135,7221866.0,14487584578.0,5.231369724299127e+16,3750595173,4070106789556.0,4126545367043,61001
1749,ebbrt,8,65536,28,0xC00,135,902558.0,2229930573.0,1006320839052867.0,100611398,104999993681.0,98027794200,26813
1750,ebbrt,6,65536,28,0x1000,135,1038705.0,2419148999.0,1256391080503147.5,108384115,123535916028.0,106392786164,28925
1751,linux,8,524288,80,0x1800,135,8620379.0,15742030125.0,6.785113295345869e+16,383565642030433,4.547780940242268e+16,34592560250552127,65075
1752,linux,3,524288,0,0x1900,135,10675688.0,15577409604.0,8.314978239025378e+16,268335943116352,1.0774637551376251e+17,86768269120775403,922912
1753,linux,9,64,4,0xC00,135,215925.0,511985555.0,55275240481687.5,6115992371666,408950649630135.0,217418189077443,14985
1754,linux,6,524288,36,0x1900,135,8653356.0,14394933311.0,6.2282241268170856e+16,152692198922091,1.8773407589130104e+16,14082570055818492,134451
1755,ebbrt,2,8192,20,0x1500,135,292207.0,727933031.0,106353563594708.5,8637288,9095697568.0,4259703797,12266
1756,ebbrt,1,8192,16,0x1800,135,403651.0,940625302.0,189842171888801.0,14791053,18746035435.0,8386705867,19812
1757,ebbrt,8,8192,16,0x1000,135,382242.0,942021602.0,180040110595842.0,15523639,18904484635.0,8359930786,19835
1758,linux,4,8192,4,0x1500,135,523390.0,960923977.0,251469000161015.0,5828662871304,523885795801347.0,314443444791576,38884
1759,ebbrt,7,65536,80,0x1700,135,1624006.0,3557585101.0,2888769774767303.0,141502134,160323353487.0,163616946348,14994
1760,ebbrt,9,8192,60,0x1600,135,707119.0,1777963192.0,628615777181924.0,17580521,18057149541.0,9090262304,10000
1761,linux,7,65536,4,0xF00,135,1425718.0,3050306996.0,2174438794861564.0,17394379315437,2423078398966062.0,1655984337245675,83594
1762,linux,4,8192,20,0x1600,135,649594.0,1185098826.0,384916543388322.0,7771970314286,697953598490030.0,420239235085070,19974
1763,linux,8,65536,24,0x1900,135,1758646.0,2893101276.0,2543970493316148.0,22192705129168,2996254859316949.0,2102428472370125,40552
1764,linux,2,8192,32,0x1000,135,672500.0,1482829496.0,498601418030000.0,4638001790686,473371376915386.0,284189781616921,15469
1765,ebbrt,9,524288,28,0x1900,135,7226853.0,13979995461.0,5.051568606865712e+16,5000271665,6432449401488.0,6182799811418,159139
1766,ebbrt,1,64,32,0x1900,135,379046.0,945612115.0,179215244871145.0,7449825,9506799822.0,4292093325,9984
1767,ebbrt,6,64,6,0x1100,135,164541.0,336133553.0,27653875472086.5,26199716,10737946078.0,1541892434,9970
1768,linux,9,65536,6,0x1100,135,1430870.0,2874139984.0,2056260339453040.0,23932547184123,3267349208966280.0,2275728891707480,75908
1769,linux,0,8192,4,0x1B00,135,577712.0,887801810.0,256446879629360.0,192239359873,17980686699386.0,12768515624036,37871
1770,linux,0,64,24,0x1B00,135,437522.0,710105146.0,155343311844106.0,225853305306,16567544291753.0,8312179530380,9989
1771,linux,5,524288,80,0xF00,135,7067444.0,15524642212.0,5.4859769726673064e+16,86119485955140,1.0470202903532564e+16,7743151132343131,63902
1772,linux,4,64,80,0xC00,135,956732.0,2373770582.0,1135531138229012.0,13512938349184,929129570746704.0,498113807668773,10000
1773,ebbrt,6,64,28,0x1500,135,332250.0,826710523.0,137337285633375.0,6439187,8291814614.0,3788584681,9983
1774,ebbrt,6,524288,60,0x1900,135,7207328.0,14313955161.0,5.15826849113099e+16,4124553593,5660382834543.0,6534103195158,80350
1775,linux,4,524288,4,0xF00,135,7435479.0,15661796262.0,5.822647860418975e+16,912318924958779,1.0741890417781926e+17,84552168211132505,519753
1776,linux,8,64,1,0x1100,135,257683.0,540785738.0,69675645662527.0,5720334242561,380433700199786.0,201846792274838,9988
1777,linux,0,65536,36,0x1100,135,1768471.0,3743042368.0,3309730939789664.0,9695444017428,1051340735610577.0,793221182741274,34440
1778,ebbrt,4,8192,20,0x1100,135,293950.0,730756511.0,107402938204225.0,8732161,9257006680.0,4337400527,12349
1779,ebbrt,5,524288,80,0x1A00,135,7260940.0,14813086630.0,5.37784666176161e+16,3845075358,4145082850494.0,4167756153135,62368
1780,linux,0,64,20,0x1B00,135,370126.0,593835140.0,109896912513820.0,155086822847,11949044389172.0,6111082041843,9990
1781,ebbrt,9,65536,80,0xC00,135,1427789.0,3557824487.0,2539911333234621.5,142151101,144076360708.0,163041417631,14995
1782,linux,4,64,20,0xF00,135,270193.0,597362018.0,80701517864737.0,3205573561110,223164725327499.0,120318406343556,9995
1783,ebbrt,5,65536,8,0x1B00,135,1197563.0,2168736794.0,1298599470616511.0,148412525,192400939135.0,93567033779,74173
1784,linux,7,64,4,0x1900,135,246967.0,402846935.0,49744949498072.5,2258033661551,150418669217142.0,71501001169890,15006
1785,linux,8,524288,0,0x1100,135,8289944.0,16726164911.0,6.932948522347749e+16,335462285705472,3.937770290084046e+16,29816862156186120,694309
1786,linux,2,524288,0,0xC00,135,7707980.0,17851956512.0,6.880126187768288e+16,520266122475904,6.1989341298936184e+16,49927654557688868,545421
1787,linux,1,524288,8,0x1600,135,8379132.0,14044311033.0,5.883956799728168e+16,243056391159762,3.0365925729858164e+16,24038590486601147,457465
1788,linux,0,524288,36,0x1100,135,7070320.0,14456331034.0,5.110544321815544e+16,131788398958005,1.6982274876194904e+16,12703328080341255,135038
1789,ebbrt,9,524288,80,0x1D00,135,6883114.0,14304758707.0,4.92306424613868e+16,3621157225,3871137809308.0,3882159050178,60232
1790,ebbrt,7,65536,32,0x1700,135,1180211.0,2380480764.0,1404734791480602.0,111143958,141442244663.0,148076392674,24974
1791,ebbrt,6,64,12,0x1100,135,218229.0,445176593.0,48575221356898.5,47255516,17778503671.0,2036338407,9685
1792,ebbrt,6,65536,20,0xC00,135,887574.0,2190044930.0,971913469349910.0,100110197,105747060638.0,81613519180,34934
1793,ebbrt,6,8192,8,0x1B00,135,341955.0,665753975.0,113828950260562.5,10263215,14429067520.0,5243370507,21433
1794,linux,3,65536,6,0x1100,135,1432230.0,2872938588.0,2057354416945620.0,4114197333427,574647379572814.0,407874569816927,75406
1795,linux,8,8192,4,0x1800,135,542483.0,917013392.0,248732087966168.0,11176491523871,989811418424350.0,589564885910105,38585
1796,linux,5,8192,24,0x1B00,135,677532.0,1072912913.0,363466415885358.0,9003077471170,788884642072264.0,474830485312679,14993
1797,ebbrt,2,65536,6,0x1000,135,929024.0,2080227184.0,966290489694208.0,155872562,196497212076.0,104010556310,87756
1798,linux,1,64,8,0x1900,135,280819.0,474088375.0,66566511689562.5,363236141185,28006421873182.0,14085672619634,10007
1799,linux,0,8192,0,0x1D00,135,575171.0,825655083.0,237446429872096.5,21502854783,4627697448551.0,3235851671667,41330
1800,ebbrt,9,64,6,0x1500,135,261907.0,496747234.0,65050788907619.0,52852529,18841065638.0,2218627055,7599
1801,ebbrt,5,64,8,0x1500,135,263079.0,499507936.0,65705024147472.0,53317314,19007734211.0,2245654130,7556
1802,linux,2,65536,28,0x1700,135,1723020.0,3010213059.0,2593328652459090.0,2912582558509,350763683971325.0,274170556387980,36200
1803,linux,8,65536,4,0x1A00,135,1739122.0,2711611253.0,2357911392769933.0,19692760151895,2636478505617896.0,1852694005948335,103567
1804,linux,6,524288,12,0x1D00,135,10140576.0,13843593002.0,7.019100347492458e+16,116532574978530,1.4520461840587328e+16,11094192165745454,371993
1805,linux,8,8192,1,0x1100,135,1616474.0,3732609853.0,3016833389759161.0,43843494788844,3870316859463506.0,2301968390971502,10015
1806,linux,3,8192,36,0x1000,135,719103.0,1591876695.0,572361653502292.5,7679190746034,733746738733754.0,438315995092232,14747
1807,ebbrt,4,65536,20,0xF00,135,976196.0,2331251614.0,1137879250290172.0,111927961,129847739289.0,96514247933,36884
1808,ebbrt,6,65536,32,0x1000,135,1025161.0,2375730132.0,1217752938925626.0,106824551,126594860832.0,126441627814,24981
1809,ebbrt,4,8192,36,0x1600,135,426448.0,1065390389.0,227166800304136.0,10683288,10878169145.0,5412298146,10000
1810,ebbrt,3,8192,6,0x1500,135,390705.0,733869276.0,143363197739790.0,175103075,42751265831.0,6829060928,20187
1811,ebbrt,3,65536,28,0x1900,135,1190666.0,2347510965.0,1397550745326345.0,108324932,129445997072.0,113449750306,27970
1812,ebbrt,9,524288,24,0x1B00,135,7261253.0,13894495805.0,5.044572467377183e+16,4368304339,5793175139605.0,4861251734287,188421
1813,linux,4,65536,60,0x1000,135,2133521.0,4778544352.0,5097562362211696.0,15334301489271,2077725119345733.0,1445629288061906,26788
1814,linux,6,8192,60,0x1C00,135,1306278.0,2320997870.0,1515934227813930.0,23254002125346,2035171050163112.0,1224599031584093,12886
1815,linux,8,64,28,0xF00,135,367387.0,831418590.0,152726190762165.0,9447875581399,624962182134803.0,332129116403435,9997
1816,ebbrt,8,524288,80,0x1A00,135,7369214.0,14888717100.0,5.48590712476797e+16,3885959606,4280389193186.0,4334887978743,62681
