sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END QPS_reported
ebbrt 1 300 0x1c00 75 0 10.01 414.87 12452915 42615938 1880433 90805 33068932 0 348689442259 0 0 0 0 0 0 25078108815930 25107140393070
ebbrt 0 300 0x1c00 55 0 10.01 482.59 12330336 38520098 1622085 78655 65913549 0 348829506778 0 0 0 0 0 0 25465871544308 25494901093597
ebbrt 1 300 0x1c00 55 0 10.01 440.99 12369474 46382754 2115354 111282 33114868 0 409030372168 0 0 0 0 0 0 25659709612538 25688740856254
ebbrt 0 300 0x1c00 135 0 10.01 440.25 11641666 42055708 1945869 100315 0 0 331743141430 0 0 0 0 0 0 26047460104914 26076489809430
ebbrt 1 300 0x1c00 135 0 10.01 301.94 11446223 43876314 2012515 108322 0 0 18446718146450074163 0 0 0 0 0 0 26241178789538 26270210534190
ebbrt 0 300 0x1c00 95 0 10.01 301.22 11308191 43300118 2024282 108429 0 0 277786189132 0 0 0 0 0 0 26629123864241 26658156750914
ebbrt 1 300 0x1c00 95 0 10.01 466.56 10892794 43280967 1997051 108809 66148333 0 353135993003 0 0 0 0 0 0 26823015727880 26852045881048
ebbrt 0 300 0x1c00 75 0 10.01 340.31 11296920 40607080 1819856 95690 430186 0 335220092660 0 0 0 0 0 0 27210970445088 27240000784786
ebbrt 1 300 0x1c00 75 0 10.01 456.23 9781607 33364474 1449214 76673 0 0 330231282835 0 0 0 0 0 0 27405000216514 27434031879828
ebbrt 0 300 0x1c00 55 0 10.01 347.56 9805302 35120598 1570764 83482 32711304 0 285546571036 0 0 0 0 0 0 27792673460174 27821702567946
ebbrt 1 300 0x1c00 55 0 9660.62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28015785902962
ebbrt 0 300 0x1c00 135 0 10.01 366.1 9522851 30666507 1336004 66682 0 0 242276872158 0 0 0 0 0 0 28374430610370 28403459423074
ebbrt 1 300 0x1c00 135 0 10.01 423.03 9561087 31655852 1360908 69835 0 0 313332181275 0 0 0 0 0 0 28568177497652 28597206433838
ebbrt 0 300 0x1c00 95 0 10.01 507.46 9517287 35756937 1609602 90114 33157643 0 385402620080 0 0 0 0 0 0 28955988511337 28985019347480
ebbrt 1 300 0x1c00 95 0 10.01 382.96 14008762 52704385 2407962 123563 132910422 0 18446715235632224492 0 0 0 0 0 0 29149954733136 29178986639086
ebbrt 0 300 0x1c00 75 0 10.01 449.29 18097618 49837216 2016362 89515 33172462 0 374184675969 0 0 0 0 0 0 29537537513632 29566567532626
ebbrt 1 300 0x1c00 75 0 10.01 426.99 16814750 52836587 2285691 108571 37383697 0 18446714583130484318 0 0 0 0 0 0 29731420197628 29760450623610
ebbrt 0 300 0x1c00 55 0 10.01 347.2 15264157 43007103 1708225 79738 65906241 0 234499203470 0 0 0 0 0 0 30119007536662 30148037277720
ebbrt 1 300 0x1c00 55 0 10.01 423.85 16303523 46759322 1893004 86754 66684369 0 250393563316 0 0 0 0 0 0 30312772388981 30341801514350
ebbrt 0 400 0x1c00 135 0 10.01 347.62 16944694 46115513 1885819 80320 32741319 0 365147394659 0 0 0 0 0 0 30700697356830 30729727632040
ebbrt 1 400 0x1c00 135 0 10.01 521.21 16301306 49588830 2093118 99725 67124444 0 296336137761 0 0 0 0 0 0 30894424600852 30923457018902
ebbrt 0 400 0x1c00 95 0 10.01 401.02 15797060 53720762 2370769 115006 1566725 0 249262983845 0 0 0 0 0 0 31282062241103 31311092910935
ebbrt 1 400 0x1c00 95 0 10.01 424.6 16241295 48832983 2097486 97039 1385330 0 308084735385 0 0 0 0 0 0 31475909803573 31504941396046
ebbrt 0 400 0x1c00 75 0 10.01 592.51 14698523 45815376 1890395 92550 33945138 0 228682584701 0 0 0 0 0 0 31863428688882 31892458440090
ebbrt 1 400 0x1c00 75 0 10.01 353.1 15554282 55141789 2474389 126509 938643 0 342664063829 0 0 0 0 0 0 32057291883630 32086324218352
ebbrt 0 400 0x1c00 55 0 10.01 415.21 15042759 50668854 2223555 109441 0 0 337254247403 0 0 0 0 0 0 32444811238854 32473841327159
ebbrt 1 400 0x1c00 55 0 10.01 509.44 14847007 44158747 1863414 85739 32870630 0 349343785180 0 0 0 0 0 0 32638666761186 32667695505082
ebbrt 0 400 0x1c00 135 0 10.01 339.35 14560224 45541750 1962927 94578 65573901 0 335833815774 0 0 0 0 0 0 33026076207461 33055108098229
