sys i itr dvfs rapl lat50 lat75 lat90 lat99 requests time joule ins cyc refcyc llcm c3 c6 c7 START_RDTSC END_RDTSC
ebbrt 5 4 0x1300 135 86.0 87.0 88.0 94.0 361419 30.1 700.3 33703125509 56526918172 2975260091 54223720 0 0 4334804 8161511104331 8248802812589
ebbrt 6 4 0x1300 135 83.0 87.0 88.0 94.0 368059 30.1 699.92 34778037910 56646144230 2981479250 53565961 0 0 2759263 8291986311889 8379274974804
ebbrt 7 4 0x1300 135 87.0 88.0 89.0 95.0 356005 30.1 700.03 33569579609 56511181048 2974483990 53413608 0 0 5418273 8422092763167 8509383789709
ebbrt 8 4 0x1300 135 87.0 88.0 89.0 95.0 353958 30.1 700.23 33442477513 56481022032 2972992096 53648756 0 0 8385060 8552369378469 8639658261703
ebbrt 9 4 0x1300 135 86.0 87.0 88.0 94.0 365336 30.1 700.75 34473849296 56618425210 2980056054 53260319 0 0 3768347 8682471577279 8769761364745
ebbrt 0 4 0x1100 135 79.0 80.0 82.0 96.0 370650 30.0 654.69 34597034355 50961912210 2997763410 48741912 0 0 67483 8812754116017 8899757452926
ebbrt 1 4 0x1100 135 80.0 81.0 82.0 96.0 369578 30.1 656.83 34754917824 51137295766 3008077656 48449511 0 0 32480 8941942920256 9029234043276
ebbrt 2 4 0x1100 135 79.0 80.0 81.0 95.0 375595 30.1 656.66 35506329431 51144136867 3008483485 48111310 0 0 73979 9071105158394 9158395283494
ebbrt 3 4 0x1100 135 79.0 80.0 81.0 95.0 374563 30.1 656.48 35174153546 51140844382 3008291408 48606590 0 0 639421 9200465881762 9287755969902
ebbrt 4 4 0x1100 135 79.0 80.0 81.0 95.0 374096 30.1 656.7 34852741907 51140406673 3008262312 48247317 0 0 74675 9329832184289 9417122655038
ebbrt 5 4 0x1100 135 80.0 81.0 83.0 97.0 367332 30.1 656.87 34307911413 51131881450 3007763586 47761338 0 0 29783 9459197833754 9546486252526
ebbrt 6 4 0x1100 135 80.0 81.0 82.0 96.0 369547 30.1 656.44 34465144729 51151442169 3008911274 44930620 0 0 93293 9588520116484 9675812081624
ebbrt 7 4 0x1100 135 81.0 82.0 83.0 97.0 365254 30.1 656.4 34251187199 51133621152 3007865727 47786328 0 0 100166 9717536955455 9804825497832
ebbrt 8 4 0x1100 135 80.0 81.0 83.0 95.0 368979 30.0 654.24 34446359206 50983983434 2999061914 45390710 0 0 597052 9846712231056 9933713203068
ebbrt 9 4 0x1100 135 79.0 80.0 81.0 95.0 375413 30.1 656.54 34914586155 51144477570 3008499806 47598942 0 0 0 9975472154856 10062761258722
ebbrt 0 4 0xf00 135 83.0 86.0 87.0 95.0 352100 30.1 618.08 32664181989 45147004657 3009829130 24799936 0 0 0 10104690383304 10191979695055
ebbrt 1 4 0xf00 135 83.0 85.0 87.0 94.0 354570 30.1 618.06 32875000845 45143486393 3009602783 24826314 0 0 0 10231489294548 10318780101691
ebbrt 2 4 0xf00 135 83.0 85.0 87.0 94.0 353982 30.1 617.5 32802636784 45137504392 3009214275 24852087 0 0 0 10358401686400 10445693391150
ebbrt 3 4 0xf00 135 84.0 86.0 88.0 95.0 350085 30.1 617.54 32451681889 45147109636 3009837140 24337736 0 0 0 10485539418818 10572829950366
ebbrt 4 4 0xf00 135 83.0 85.0 87.0 94.0 354313 30.1 617.94 33250965439 45145550355 3009730092 24930266 0 0 0 10612293253104 10699583671372
ebbrt 5 4 0xf00 135 82.0 85.0 87.0 94.0 355357 30.1 617.87 33269586073 45145732930 3009741237 25049894 0 0 0 10739173929362 10826464942708
ebbrt 6 4 0xf00 135 82.0 84.0 86.0 93.0 357077 30.1 618.21 33374121239 45144615435 3009687332 25298560 0 0 0 10866008280628 10953296899743
ebbrt 7 4 0xf00 135 82.0 85.0 86.0 94.0 355825 30.1 618.26 33163157149 45144765692 3009696447 25241484 0 0 540502 10993144015134 11080436489760
ebbrt 8 4 0xf00 135 82.0 84.0 86.0 93.0 357801 30.1 618.6 33180756970 45136999172 3009164141 25290930 0 0 0 11120206325350 11207494666193
ebbrt 9 4 0xf00 135 83.0 86.0 88.0 95.0 351116 30.1 618.1 32611230616 45144921052 3009699594 24855239 0 0 531918 11247035618756 11334326492990
ebbrt 0 4 0xd00 135 96.0 99.0 101.0 108.0 305816 30.1 581.59 28383601388 39125015006 3009616594 21270421 0 0 538037 11374151293434 11461440097008
ebbrt 1 4 0xd00 135 95.0 99.0 100.0 108.0 306902 30.1 581.54 28479473072 39120234258 3009250375 21400376 0 0 0 11500924374878 11588214071509
ebbrt 2 4 0xd00 135 96.0 99.0 100.0 108.0 306416 30.1 581.73 28742904403 39121228042 3009325234 21180689 0 0 0 11627802386266 11715092545790
ebbrt 3 4 0xd00 135 95.0 99.0 100.0 108.0 307210 30.1 581.41 28817525825 39121197463 3009323277 21330520 0 0 0 11754746704932 11842041252056
ebbrt 4 4 0xd00 135 96.0 99.0 101.0 109.0 305355 30.1 581.56 28656551377 39128165154 3009859648 21474987 0 0 0 11881578011302 11968867062904
ebbrt 5 4 0xd00 135 96.0 99.0 100.0 108.0 306656 30.1 581.5 28772444211 39120923182 3009302969 21309479 0 0 0 12008365555024 12095655359938
ebbrt 6 4 0xd00 135 96.0 99.0 101.0 109.0 304861 30.1 581.39 28617942512 39123794225 3009522633 21026892 0 0 0 12135223308819 12222513765708
ebbrt 7 4 0xd00 135 96.0 99.0 101.0 108.0 305969 30.1 581.34 28714027026 39121646947 3009357458 21144309 0 0 0 12262170632132 12349461509746
ebbrt 8 4 0xd00 135 98.0 101.0 103.0 110.0 299739 30.1 581.31 28230222504 39120368661 3009259128 20853819 0 0 0 12389004717559 12476293616424
ebbrt 9 4 0xd00 135 98.0 101.0 103.0 110.0 300602 0.0 591.8 28093694964 39130073435 3010006901 21028996 0 0 1742296278 12515757761280 12515757462080
ebbrt 0 6 0x1d00 135 94.0 110.0 111.0 116.0 351891 30.1 906.01 33288084698 48623500798 2239817735 25483637 32219 0 163241 12642569719196 12729858813910
ebbrt 1 6 0x1d00 135 93.0 110.0 111.0 116.0 352686 30.1 906.01 33008402941 48404042048 2240260273 25551086 20706 0 134009 12771890671990 12859181620478
ebbrt 2 6 0x1d00 135 89.0 109.0 110.0 114.0 359239 30.0 903.9 33946062958 48482453334 2235859460 26084213 0 0 183570 12901242191930 12988243979622
ebbrt 3 6 0x1d00 135 89.0 109.0 110.0 114.0 360312 30.1 907.04 33880329172 48581347501 2243492059 26269692 29290 0 105705 13030346885508 13117636636485
ebbrt 4 6 0x1d00 135 90.0 109.0 110.0 115.0 360027 30.1 907.37 33909659912 48652529113 2243813592 26222410 0 0 183512 13159773877329 13247065927070
ebbrt 5 6 0x1d00 135 91.0 109.0 110.0 115.0 358062 30.1 906.39 33493130394 48384497984 2241792902 25797305 0 0 137170 13289133838350 13376422115088
ebbrt 6 6 0x1d00 135 92.0 109.0 110.0 115.0 354016 30.1 905.36 33280674878 47807782846 2237030710 25818403 37729 0 106923 13418606892332 13505896119910
ebbrt 7 6 0x1d00 135 91.0 109.0 110.0 115.0 357984 30.1 906.85 33636230387 48608877622 2243506311 26094457 19285 0 141346 13548088843058 13635378565778
ebbrt 8 6 0x1d00 135 89.0 109.0 110.0 114.0 361550 30.1 906.51 33597368979 48579374996 2242564406 26403783 0 0 176900 13677524157502 13764815205094
ebbrt 9 6 0x1d00 135 72.0 109.0 110.0 115.0 362511 0.0 919.17 34205467421 49455545259 2251012957 26456863 0 0 1838718552 13807063902340 13807063702240
ebbrt 0 6 0x1b00 135 61.0 110.0 111.0 116.0 384560 30.1 866.31 36328895057 52471659762 2315859675 28020424 0 0 255200 13936692847740 14023980505918
ebbrt 1 6 0x1b00 135 61.0 109.0 111.0 115.0 387314 30.1 866.8 36292792045 52715042836 2318083780 28065353 0 0 177712 14066784638227 14154074751725
ebbrt 2 6 0x1b00 135 62.0 110.0 112.0 116.0 369074 30.1 862.76 34729913721 50477457959 2292835775 26761655 16501 0 140505 14197368483752 14284659519686
ebbrt 3 6 0x1b00 135 61.0 109.0 111.0 115.0 386106 30.1 867.03 35891508516 52478388033 2315274315 28388809 37526 0 190936 14327177771038 14414467046722
ebbrt 4 6 0x1b00 135 61.0 109.0 111.0 115.0 382840 30.1 865.23 35958721709 51632294054 2305662083 27885612 37497 0 237017 14457460147201 14544751851620
ebbrt 5 6 0x1b00 135 62.0 111.0 112.0 117.0 367322 30.1 863.8 34609974838 50788230054 2294221315 26923913 0 0 116812 14587678754834 14674969490605
ebbrt 6 6 0x1b00 135 63.0 111.0 112.0 117.0 361606 30.1 861.65 33969578652 49925803787 2283938968 26511079 0 0 203638 14717682508786 14804971104209
ebbrt 7 6 0x1b00 135 63.0 111.0 112.0 117.0 361787 30.1 862.33 33875502353 50158510024 2286771941 26529459 0 0 249864 14847399305377 14934688552491
ebbrt 8 6 0x1b00 135 63.0 111.0 112.0 117.0 369850 30.1 865.06 34549651672 51685926321 2305557983 27199018 30943 0 132646 14977310090836 15064600706950
ebbrt 9 6 0x1b00 135 62.0 111.0 112.0 116.0 376869 30.1 866.87 35778429556 52313271250 2313447555 27480111 0 0 225272 15107560522554 15194853321868
ebbrt 0 6 0x1900 135 64.0 66.0 112.0 117.0 400596 30.1 822.0 37745225753 55270708224 2419957375 29272665 0 0 210859 15238002960310 15325291267278
ebbrt 1 6 0x1900 135 65.0 112.0 114.0 119.0 372292 30.1 815.93 35205605733 51689900414 2363306412 27411635 0 0 222140 15370807476606 15458097173898
ebbrt 2 6 0x1900 135 64.0 66.0 112.0 117.0 402879 30.1 822.45 37678667420 55593698320 2424942260 29571713 35032 0 232464 15501637851108 15588928378230
ebbrt 3 6 0x1900 135 64.0 66.0 112.0 117.0 405311 30.1 822.74 38397246888 55408549373 2421951021 29821133 27289 0 211526 15632126081008 15719414452904
ebbrt 4 6 0x1900 135 64.0 66.0 112.0 116.0 402165 30.1 821.13 37719291778 54416728285 2405821685 29569589 36714 0 205755 15763095579158 15850386951280
ebbrt 5 6 0x1900 135 64.0 67.0 112.0 116.0 398093 30.1 820.15 37485241986 53938463843 2397590250 29095040 0 0 284954 15893905947138 15981195787848
ebbrt 6 6 0x1900 135 64.0 70.0 112.0 117.0 396128 30.1 819.54 36839834876 53554966361 2391080091 28955602 54955 0 224808 16024634311374 16111925444487
ebbrt 7 6 0x1900 135 64.0 65.0 112.0 116.0 407251 30.1 822.82 38267770192 55383488843 2420804348 29680765 35612 0 207901 16155403707400 16242692685853
