sys i itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
linux 4 1 0x1d00 95 199945.9 30.01 3368.18 316358280780 452887196085 453176120156 520258316 2669345339 0 1322950141049 42.5 44.1 49.4 58.0 60.0 66.1 59216863463220 59303878647080
linux 0 1 0x1d00 55 200157.2 30.01 3320.49 403221855766 494599283846 499063631228 604623727 3501557324 0 1264012704884 45.0 45.8 50.8 59.1 61.9 69.1 59555473963982 59642488954578
linux 1 1 0x1d00 55 199797.2 30.01 3344.62 381767850661 484464542667 489544763680 596022982 3223796600 0 1264789643942 42.5 43.9 49.4 58.2 60.1 66.6 59892825280308 59979840872288
linux 2 1 0x1d00 55 200088.1 30.01 3327.36 404608416375 494927558543 500121526288 600684753 3367186375 0 1286267724920 42.9 44.8 49.6 58.4 60.2 67.1 60230096626795 60317112329828
linux 3 1 0x1d00 55 199964.0 30.01 3359.8 386691899737 489032443307 494159495835 602979016 3438850450 0 1284044282160 42.7 44.4 49.6 58.2 60.1 67.2 60568744392916 60655759289920
linux 4 1 0x1d00 55 200028.7 30.01 3382.48 413658763131 495856026450 500877097479 594052132 3717609412 0 1257472274941 42.5 44.0 49.3 58.0 60.0 66.3 60906136700999 60993151785984
linux 0 1 0x1d00 135 399820.5 30.01 3977.95 614037060738 812009288664 812366423787 984695520 4370500883 0 1908045313391 44.1 45.8 52.8 63.5 67.5 79.8 61244174868831 61331190626857
linux 1 1 0x1d00 135 400080.2 30.01 3875.71 696024241477 845953443785 846473756264 1006166895 4209808142 0 1875737730948 43.5 45.5 52.4 63.0 66.9 79.7 61675284689726 61762300248879
linux 2 1 0x1d00 135 400077.5 30.01 3928.81 667592294162 832362200708 832792455902 992074041 3795992236 0 1879219597910 43.1 45.3 52.2 62.7 66.3 79.2 62107388086090 62194403146321
linux 3 1 0x1d00 135 399877.6 30.01 3900.53 673109081810 838218445357 838716102477 999894449 4437409103 0 1877983691628 45.3 46.3 53.4 64.3 68.8 81.9 62537624414590 62624639320913
linux 4 1 0x1d00 135 399771.3 30.21 3880.45 675162954520 837978631220 838380031511 990650903 3853320683 0 1885673163167 42.9 44.9 52.1 62.7 66.3 79.8 62968170852106 63055766045061
linux 0 1 0x1d00 95 399869.4 30.01 3973.23 494985680735 752694196931 753139855244 887615208 3346137537 0 1974248339405 43.9 45.7 52.7 63.3 67.1 79.6 63400081360128 63487096720623
linux 1 1 0x1d00 95 400018.4 30.01 3927.19 514058415866 761642047024 762026807514 901455952 3047220762 0 1959005575107 43.4 45.5 52.5 63.3 67.3 81.1 63831947669102 63918962367294
linux 2 1 0x1d00 95 400070.0 30.01 3941.02 489742226829 753836386612 754230912529 875795890 2883956881 0 1982920019774 43.4 45.5 52.5 63.5 67.8 84.0 64263860140190 64350875487696
linux 3 1 0x1d00 95 399774.0 30.01 3891.84 488139270019 748354137154 748893119488 871566886 3421488179 0 1964297126111 43.2 45.3 52.4 63.2 67.2 81.0 64695737218426 64782752032992
linux 4 1 0x1d00 95 399983.2 30.01 3909.38 518048959971 762678796706 763155769858 898327794 3211752088 0 36893359548899491453 43.0 45.1 52.1 62.8 66.8 80.8 65126719434319 65213735030935
linux 0 1 0x1d00 55 399973.1 30.01 3239.96 494918856666 729365133193 860634289572 1004156990 3029754874 0 1960650733188 46.0 47.5 56.9 85.5 1229.5 5709.8 65559759358927 65646774903658
linux 1 1 0x1d00 55 399923.1 30.01 3285.83 508881084644 737024703361 866090208661 989600030 3250634824 0 1958030462403 45.9 47.4 56.6 81.8 980.3 5586.3 65989281943696 66076297976771
linux 2 1 0x1d00 55 399809.4 30.01 3306.74 525268520838 740943213581 870206937098 970826540 3301928342 0 1948975966693 46.0 47.5 56.8 83.1 1059.8 5647.1 66420603194946 66507618805678
linux 3 1 0x1d00 55 399962.8 30.01 3320.71 476074481277 723794475899 854081874567 984510278 3300113377 0 1960444813410 45.9 47.4 56.6 83.3 977.9 5607.8 66852121059441 66939144541665
linux 4 1 0x1d00 55 400116.5 30.01 3347.74 531651158687 746175321401 871969042812 993740378 3877210738 0 18446678549732965812 46.1 47.6 56.8 80.0 703.6 5357.5 67282919941386 67369935673261
linux 0 1 0x1d00 135 599678.1 30.01 4407.55 681945490778 1065808457229 1066262733485 1898239221 3011778644 0 2443050826115 45.9 47.8 57.8 75.5 83.2 110.6 67713745887320 67800761290000
linux 1 1 0x1d00 135 599895.6 30.01 4478.97 846519494788 1149547771459 1149983165419 2044955747 3734164961 0 2353890602833 46.8 49.3 58.9 76.9 85.1 113.8 68212818150154 68299833253676
linux 2 1 0x1d00 135 599897.9 30.01 4418.36 866718324888 1154741066118 1155155052795 2015147380 4159005043 0 18446677578775737236 46.0 48.1 58.0 75.4 83.3 110.7 68711634465348 68798649384959
linux 3 1 0x1d00 135 599798.9 30.01 4508.68 813853694572 1139638039756 1140067695553 2028421044 4005057644 0 2369403317401 45.8 47.8 57.8 75.4 83.0 111.1 69212791673642 69299806752219
linux 4 1 0x1d00 135 600086.0 30.01 4492.18 876723057787 1160163512906 1160617517010 2032207445 3549735720 0 2335389111348 46.3 48.5 58.2 75.9 83.4 108.1 69715091484363 69802107037253
linux 0 1 0x1d00 95 599773.9 30.01 4406.15 885355850811 1164657832000 1165044808245 2050995317 4245512594 0 2357886397036 47.4 50.1 59.5 77.3 85.1 112.9 70213269889086 70300285097958
