i rx_desc rx_bytes tx_desc tx_bytes instructions cycles ref_cycles llc_miss c3 c6 c7 joules timestamp
184 0 0 3 8588 0 0 0 0 0 0 0 0 7175541600850
185 0 0 0 0 0 0 0 0 0 0 0 0 7175541636578
186 1 66 0 0 0 0 0 0 0 0 0 0 7175541675454
187 6 8588 0 0 0 0 0 0 0 0 0 0 7175541709690
188 0 0 2 66 0 0 0 0 0 0 0 0 7175541746818
189 0 0 3 8588 0 0 0 0 0 0 0 0 7175541799806
190 1 66 0 0 0 0 0 0 0 0 0 0 7175541826678
191 1 66 0 0 0 0 0 0 0 0 0 0 7175541856926
192 6 8588 0 0 0 0 0 0 0 0 0 0 7175541890794
193 0 0 2 66 0 0 0 0 0 0 0 0 7175541927978
194 0 0 3 8588 0 0 0 0 0 0 0 0 7175541980950
195 1 66 0 0 0 0 0 0 0 0 0 0 7175542007790
196 1 66 0 0 0 0 0 0 0 0 0 0 7175542040730
197 6 8588 0 0 0 0 0 0 0 0 0 0 7175542074998
198 0 0 2 66 0 0 0 0 0 0 0 0 7175542112118
199 0 0 3 8588 0 0 0 0 0 0 0 0 7175542165046
200 1 66 0 0 0 0 0 0 0 0 0 0 7175542188974
201 1 66 0 0 0 0 0 0 0 0 0 0 7175542215934
202 6 8588 0 0 0 0 0 0 0 0 0 0 7175542250914
203 0 0 2 66 0 0 0 0 0 0 0 0 7175542287462
204 0 0 3 8588 0 0 0 0 0 0 0 0 7175542310586
205 0 0 0 0 0 0 0 0 0 0 0 0 7175542343366
206 1 66 0 0 0 0 0 0 0 0 0 0 7175542370134
207 1 66 0 0 0 0 0 0 0 0 0 0 7175542397386
208 6 8588 0 0 0 0 0 0 0 0 0 0 7175542431242
209 0 0 2 66 0 0 0 0 0 0 0 0 7175542468334
210 0 0 3 8588 0 0 0 0 0 0 0 0 7175542491706
211 0 0 0 0 0 0 0 0 0 0 0 0 7175542521386
212 1 66 0 0 0 0 0 0 0 0 0 0 7175542548254
213 1 66 0 0 0 0 0 0 0 0 0 0 7175542578214
214 6 8588 0 0 0 0 0 0 0 0 0 0 7175542609474
215 0 0 2 66 0 0 0 0 0 0 0 0 7175542646514
216 0 0 3 8588 0 0 0 0 0 0 0 0 7175542699606
217 1 66 0 0 0 0 0 0 0 0 0 0 7175542726410
218 1 66 0 0 0 0 0 0 0 0 0 0 7175542756630
219 6 8588 0 0 0 0 0 0 0 0 0 0 7175542790806
220 0 0 2 66 0 0 0 0 0 0 0 0 7175542824726
221 0 0 3 8588 0 0 0 0 0 0 0 0 7175542848082
222 0 0 0 0 0 0 0 0 0 0 0 0 7175542883818
223 1 66 0 0 0 0 0 0 0 0 0 0 7175542922946
224 6 8588 0 0 0 0 0 0 0 0 0 0 7175542954346
225 0 0 2 66 0 0 0 0 0 0 0 0 7175542991046
226 0 0 3 8588 0 0 0 0 0 0 0 0 7175543014362
227 0 0 0 0 0 0 0 0 0 0 0 0 7175543047142
228 1 66 0 0 0 0 0 0 0 0 0 0 7175543086262
229 6 8588 0 0 0 0 0 0 0 0 0 0 7175543120358
230 0 0 2 66 0 0 0 0 0 0 0 0 7175543157482
231 0 0 3 8588 0 0 0 0 0 0 0 0 7175543180662
232 0 0 0 0 0 0 0 0 0 0 0 0 7175543210478
233 1 66 0 0 0 0 0 0 0 0 0 0 7175543237222
234 1 66 0 0 198022431265 438452990268 438679493262 176609221 2657528129 0 6162039515728 3392657857 7175543267418
235 6 8588 0 0 0 0 0 0 0 0 0 0 7175543304266
236 0 0 2 66 0 0 0 0 0 0 0 0 7175543338470
237 0 0 3 8588 0 0 0 0 0 0 0 0 7175543361782
238 0 0 0 0 0 0 0 0 0 0 0 0 7175543397574
239 1 66 0 0 0 0 0 0 0 0 0 0 7175543433650
240 5 7570 0 0 0 0 0 0 0 0 0 0 7175543468278
241 1 1018 2 66 0 0 0 0 0 0 0 0 7175543510958
242 0 0 3 8588 0 0 0 0 0 0 0 0 7175543534066
243 0 0 0 0 0 0 0 0 0 0 0 0 7175543572750
244 1 66 0 0 0 0 0 0 0 0 0 0 7175543612074
245 6 8588 0 0 0 0 0 0 0 0 0 0 7175543642842
246 0 0 2 66 0 0 0 0 0 0 0 0 7175543680118
247 0 0 3 8588 0 0 0 0 0 0 0 0 7175543703318
248 0 0 0 0 0 0 0 0 0 0 0 0 7175543736090
249 1 66 0 0 0 0 0 0 0 0 0 0 7175543774954
250 6 8588 0 0 0 0 0 0 0 0 0 0 7175543806318
251 0 0 2 66 0 0 0 0 0 0 0 0 7175543843278
252 0 0 3 8588 0 0 0 0 0 0 0 0 7175543866642
253 0 0 0 0 0 0 0 0 0 0 0 0 7175543902378
254 1 66 0 0 0 0 0 0 0 0 0 0 7175543938410
255 6 8588 0 0 0 0 0 0 0 0 0 0 7175543973006
256 0 0 2 66 0 0 0 0 0 0 0 0 7175544006742
257 0 0 3 8588 0 0 0 0 0 0 0 0 7175544029942
258 0 0 0 0 0 0 0 0 0 0 0 0 7175544065694
259 1 66 0 0 0 0 0 0 0 0 0 0 7175544104390
260 6 8588 0 0 0 0 0 0 0 0 0 0 7175544139422
261 0 0 2 66 0 0 0 0 0 0 0 0 7175544172926
262 0 0 3 8588 0 0 0 0 0 0 0 0 7175544196246
263 0 0 0 0 0 0 0 0 0 0 0 0 7175544229062
264 1 66 0 0 0 0 0 0 0 0 0 0 7175544268202
265 6 8588 0 0 0 0 0 0 0 0 0 0 7175544302162
266 0 0 2 66 0 0 0 0 0 0 0 0 7175544339182
267 0 0 3 8588 0 0 0 0 0 0 0 0 7175544395222
268 1 66 0 0 0 0 0 0 0 0 0 0 7175544434470
269 6 8588 0 0 0 0 0 0 0 0 0 0 7175544465750
270 0 0 2 66 0 0 0 0 0 0 0 0 7175544502674
271 0 0 3 8588 0 0 0 0 0 0 0 0 7175544525870
272 0 0 0 0 0 0 0 0 0 0 0 0 7175544558682
273 1 66 0 0 0 0 0 0 0 0 0 0 7175544606646
274 6 8588 0 0 0 0 0 0 0 0 0 0 7175544644598
275 0 0 2 66 0 0 0 0 0 0 0 0 7175544680846
276 0 0 3 8588 0 0 0 0 0 0 0 0 7175544704046
277 0 0 0 0 0 0 0 0 0 0 0 0 7175544739806
278 1 66 0 0 0 0 0 0 0 0 0 0 7175544784826
279 6 8588 0 0 0 0 0 0 0 0 0 0 7175544819414
280 0 0 2 66 0 0 0 0 0 0 0 0 7175544855962
281 0 0 3 8588 0 0 0 0 0 0 0 0 7175544879258
282 0 0 0 0 0 0 0 0 0 0 0 0 7175544912022
283 1 66 0 0 0 0 0 0 0 0 0 0 7175544960226
284 6 8588 0 0 0 0 0 0 0 0 0 0 7175544994026
285 0 0 2 66 0 0 0 0 0 0 0 0 7175545031162
286 0 0 3 8588 0 0 0 0 0 0 0 0 7175545054482
287 0 0 0 0 0 0 0 0 0 0 0 0 7175545087130
288 1 66 0 0 0 0 0 0 0 0 0 0 7175545126638
289 6 8588 0 0 0 0 0 0 0 0 0 0 7175545160806
290 0 0 2 66 0 0 0 0 0 0 0 0 7175545197498
291 0 0 3 8588 0 0 0 0 0 0 0 0 7175545220786
292 0 0 0 0 0 0 0 0 0 0 0 0 7175545250594
293 1 66 0 0 0 0 0 0 0 0 0 0 7175545277398
294 1 66 0 0 0 0 0 0 0 0 0 0 7175545304698
295 6 8588 0 0 0 0 0 0 0 0 0 0 7175545336238
296 0 0 2 66 0 0 0 0 0 0 0 0 7175545372678
297 0 0 3 8588 0 0 0 0 0 0 0 0 7175545395978
298 0 0 0 0 0 0 0 0 0 0 0 0 7175545428746
299 1 66 0 0 0 0 0 0 0 0 0 0 7175545476794
300 6 8588 0 0 0 0 0 0 0 0 0 0 7175545511750
301 0 0 2 66 0 0 0 0 0 0 0 0 7175545547898
302 0 0 3 8588 0 0 0 0 0 0 0 0 7175545571154
303 0 0 0 0 0 0 0 0 0 0 0 0 7175545606946
304 1 66 0 0 0 0 0 0 0 0 0 0 7175545646194
305 6 8588 0 0 0 0 0 0 0 0 0 0 7175545680030
306 0 0 2 66 0 0 0 0 0 0 0 0 7175545717070
307 0 0 3 8588 0 0 0 0 0 0 0 0 7175545740434
308 0 0 0 0 0 0 0 0 0 0 0 0 7175545776214
309 1 66 0 0 0 0 0 0 0 0 0 0 7175545812322
310 5 7570 0 0 0 0 0 0 0 0 0 0 7175545846398
311 1 1018 2 66 0 0 0 0 0 0 0 0 7175545892538
312 0 0 3 8588 0 0 0 0 0 0 0 0 7175545915650
313 0 0 0 0 0 0 0 0 0 0 0 0 7175545951394
314 1 66 0 0 0 0 0 0 0 0 0 0 7175545990326
315 6 8588 0 0 0 0 0 0 0 0 0 0 7175546021790
316 0 0 2 66 0 0 0 0 0 0 0 0 7175546058550
317 0 0 3 8588 0 0 0 0 0 0 0 0 7175546081946
318 0 0 0 0 0 0 0 0 0 0 0 0 7175546114706
319 1 66 0 0 0 0 0 0 0 0 0 0 7175546153802
