sys i core itr dvfs rapl QPS time joule ins cyc refcyc llcm c3 c6 c7 read_5th read_10th read_50th read_90th read_95th read_99th RDTSC_START RDTSC_END
ebbrt_core 1 13 50 0x1d00 55 199879.6 30.0 0.0 3106293027 9837840683 551388749 15033411 0 0 1354938 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 14 50 0x1d00 55 199879.6 30.0 0.0 3170027953 9886471581 556035802 13347479 0 0 587685 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 1 15 50 0x1d00 55 199879.6 30.0 0.0 3115575651 9997148057 559713224 15247297 0 0 225823 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt 1 50 0x1d00 55 199879.6 30.0 2488.86 31432385159 99510053108 5569710021 146146125 156977 0 6983867 39.2 42.0 60.7 85.9 92.0 102.7 923734515488 1010737861224
ebbrt_core 2 0 50 0x1d00 55 200023.3 30.0 1232.6 3103280171 9621104900 542300540 12459464 0 0 0 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
ebbrt_core 2 1 50 0x1d00 55 200023.3 30.0 1266.82 3090842253 10011161478 560068847 15682872 0 0 1412677 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
ebbrt_core 2 2 50 0x1d00 55 200023.3 30.0 0.0 44661474 408279008 19760895 2182829 0 0 1222437 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
ebbrt_core 2 3 50 0x1d00 55 200023.3 30.0 0.0 27409146 91252887 4321317 15676521 30044 0 84100 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
ebbrt_core 2 4 50 0x1d00 55 200023.3 30.0 0.0 3098886359 9705409008 546139365 13124672 0 0 296003 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
ebbrt_core 2 5 50 0x1d00 55 200023.3 30.0 0.0 66712910 179153847 6984975 350300 0 0 1448840 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
ebbrt_core 2 6 50 0x1d00 55 200023.3 30.0 0.0 50871526 380667012 16497650 2957279 0 0 1599176 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
ebbrt_core 2 7 50 0x1d00 55 200023.3 30.0 0.0 3083758958 9912768717 554817089 14932124 0 0 379494 39.1 41.9 60.9 86.1 92.3 103.2 1216867807395 1303870739623
